Gemeente,Zorgverzekeringswet (Zvw) - Kosten totaal [euro] [2014],Algemene Wet Bijzondere Ziektekosten (AWBZ) - Kosten totaal [euro] [2014],Wet langdurige zorg (WLZ) - Kosten totaal [euro] [2015],Zvw - Huisartsenzorg - Kosten totaal [euro] [2014],Zvw - Farmaceutische zorg - Kosten totaal [euro] [2014],Zvw - Wijkverpleging - Kosten totaal [euro] [2015],Zvw - medisch-specialistische zorg - Kosten totaal [euro] [2014],Zvw - Geestelijke gezondheidszorg - Kosten totaal [euro] [2014],Zvw - Overig - Kosten totaal [euro] [2014],AWBZ - Zorg thuis - Kosten totaal [euro] [2014],AWBZ - Zorg in een instelling - Kosten totaal [euro] [2014],WLZ - Zorg in een instelling - Kosten totaal [euro] [2015],WLZ - Zorg zonder verblijf - Kosten totaal [euro] [2015],Zorgverzekeringswet (Zvw) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2014],Algemene Wet Bijzondere Ziektekosten (AWBZ) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2014],Wet langdurige zorg (WLZ) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2015],Zvw - Huisartsenzorg - Zorggebruikers [aantal] [2014],Zvw - Farmaceutische zorg - Zorggebruikers [aantal] [2014],Zvw - Wijkverpleging - Zorggebruikers [aantal] [2015],Zvw - MSZ - Zorggebruikers [aantal] [2014],Zvw - GGZ - Zorggebruikers [aantal] [2014],Zvw - Overig - Zorggebruikers [aantal] [2014],AWBZ - Zorg thuis - Zorggebruikers [aantal] [2014],AWBZ - Zorg in een instelling - Zorggebruikers [aantal] [2014],WLZ - Zorg thuis - Zorggebruikers [aantal] [2015],WLZ - Zorg in een instelling - Zorggebruikers [aantal] [2015]
Enschede,361547867,294208893,200140026,23111229,40381771,34659305,204572590,41060969,52421308,113432865,180776028,38984280,161155746,136369,11621,3936,118899,103899,5395,89233,8936,56119,8788,3589,1158,3058
Epe,78401162,57059736,38122457,5354337,9992742,9155561,45450362,6257836,11345885,22575124,34484612,9570205,28552252,29083,2407,780,25694,22530,1463,18655,1460,12249,1860,701,282,576
Ermelo,60210371,130388510,111089331,4231609,6664261,5407656,32207311,8403390,8703800,21979681,108408828,10736053,100353278,23204,2616,1498,19666,17439,807,14662,1519,9931,1317,1485,246,1314
Etten-Leur,93584771,69541116,56131663,6009496,10559749,5565915,54654297,7834736,14526494,20159692,49381424,9261374,46870289,38259,2580,1199,33853,29466,1252,25246,1920,15958,1829,929,486,814
Ferwerderadiel,16748929,9801270,7172162,1194483,1804419,1799612,10076655,1251998,2421374,4705284,5095985,2073209,5098952,7492,499,173,6183,5321,286,4443,379,3197,403,132,53,127
Franekeradeel,48792660,43811984,28963709,3103169,5454086,5395220,27037226,6474786,6723393,16008557,27803427,6282807,22680902,18001,1706,571,15587,13648,830,11302,1252,7460,1292,538,205,406
De Fryske Marren,108050460,70848547,52734543,7662997,12531973,13502458,63748345,8246472,15860673,30752010,40096536,11583266,41151277,45152,3288,1221,38848,33676,1792,27513,2285,18936,2677,810,562,745
Geertruidenberg,46281603,35580950,30608248,2993850,5674526,2928583,26847563,2535463,8230201,8361122,27219828,3173691,27434557,19559,1258,571,17332,15616,617,12699,663,8140,850,513,162,466
Geldermalsen,55340448,40131298,30940210,4078578,6709424,5035916,32800801,3431056,8320590,16381596,23749702,8370809,22569402,23351,1494,608,20374,17431,781,14806,1124,9981,1150,429,273,405
Geldrop-Mierlo,96516605,47142427,32618317,5623826,10878649,6299582,59875986,7066599,13071545,19928445,27213982,7286069,25332248,35427,2211,758,31370,27380,1100,23634,2058,14559,1738,698,335,513
Gemert-Bakel,64534964,42253278,29051594,4086881,7083909,5138276,39719298,4358068,9286808,14775118,27478160,5629527,23422067,26312,1804,604,23366,19704,913,17114,1316,11106,1344,614,238,436
Gennep,37904991,67671243,62809653,2429428,4406834,3605752,22563369,3195934,5309426,8311370,59359873,2945251,59864402,15310,1536,891,13234,11383,575,9860,803,6273,798,841,141,801
Giessenlanden,28957253,12302454,9440865,2020969,3590161,2739950,17108223,1978459,4259441,5855825,6446628,2278974,7161891,12878,623,236,11127,9811,416,7786,638,5151,531,141,134,128
Gilze en Rijen,53404805,28918025,22057426,3447531,6518125,2933423,31356123,3594864,8488161,12720706,16197319,6375586,15681840,23245,1335,484,20744,18440,715,15359,1192,9664,1079,352,237,308
Goeree-Overflakkee,111562522,94891451,75182979,7201978,14163891,10392147,65261880,6807138,18127634,25665153,69226299,10092053,65090926,43628,3324,1336,38073,34468,1738,28578,2056,18717,2385,1291,369,1080
Goes,91305999,87952570,67303572,5185278,11203637,8027758,49226466,10899504,14791113,22155857,65796713,6508956,60794616,32942,3209,1278,28773,25966,1477,22518,1992,13773,2216,1348,329,1068
Goirle,50042786,33657866,27271713,3226116,6006058,2698233,30021990,3134079,7654543,14490152,19167714,9025435,18246278,20858,1256,525,18392,15881,607,13826,1118,8587,987,339,260,307
Gooise Meren,128371883,73447964,55408455,8713751,13924283,8072621,77023226,11042707,17667916,28313826,45134138,15954337,39454118,51125,2999,1296,45172,38196,1544,33111,3218,20572,2183,1074,568,855
