Gemeente,Zorgverzekeringswet (Zvw) - Kosten totaal [euro] [2014],Algemene Wet Bijzondere Ziektekosten (AWBZ) - Kosten totaal [euro] [2014],Wet langdurige zorg (WLZ) - Kosten totaal [euro] [2015],Zvw - Huisartsenzorg - Kosten totaal [euro] [2014],Zvw - Farmaceutische zorg - Kosten totaal [euro] [2014],Zvw - Wijkverpleging - Kosten totaal [euro] [2015],Zvw - medisch-specialistische zorg - Kosten totaal [euro] [2014],Zvw - Geestelijke gezondheidszorg - Kosten totaal [euro] [2014],Zvw - Overig - Kosten totaal [euro] [2014],AWBZ - Zorg thuis - Kosten totaal [euro] [2014],AWBZ - Zorg in een instelling - Kosten totaal [euro] [2014],WLZ - Zorg in een instelling - Kosten totaal [euro] [2015],WLZ - Zorg zonder verblijf - Kosten totaal [euro] [2015],Zorgverzekeringswet (Zvw) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2014],Algemene Wet Bijzondere Ziektekosten (AWBZ) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2014],Wet langdurige zorg (WLZ) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2015],Zvw - Huisartsenzorg - Zorggebruikers [aantal] [2014],Zvw - Farmaceutische zorg - Zorggebruikers [aantal] [2014],Zvw - Wijkverpleging - Zorggebruikers [aantal] [2015],Zvw - MSZ - Zorggebruikers [aantal] [2014],Zvw - GGZ - Zorggebruikers [aantal] [2014],Zvw - Overig - Zorggebruikers [aantal] [2014],AWBZ - Zorg thuis - Zorggebruikers [aantal] [2014],AWBZ - Zorg in een instelling - Zorggebruikers [aantal] [2014],WLZ - Zorg thuis - Zorggebruikers [aantal] [2015],WLZ - Zorg in een instelling - Zorggebruikers [aantal] [2015]
Leerdam,47959628,40668145,34825510,3080401,5829654,4306479,28117560,3717953,7214060,10011902,30656243,4017516,30807993,18500,1493,678,16009,14333,757,11979,1103,7925,1081,549,249,503
Leeuwarden,246274973,171935087,102924302,16072341,26384077,25391898,135198364,36065392,32554798,79417415,92517672,27559364,75364938,92883,7728,2051,80576,70853,3918,57711,8034,36108,6441,2033,779,1452
Leeuwarderadeel,21148835,28661244,25093753,1542203,2422691,2703447,12670750,1507125,3006065,8641865,20019379,4141681,20952072,9044,858,359,7759,6791,404,5667,482,3689,668,294,98,281
Leiden,235049293,126215661,78448445,17910855,27247921,20010356,129607908,31744498,28538111,49041506,77174155,14993011,63455434,102015,5759,1786,90134,77715,2574,63662,8552,35918,4417,1740,634,1357
Leiderdorp,58089876,32793421,24352873,4076675,6781011,4856281,34690991,5448039,7093160,11930144,20863277,3833205,20519668,24129,1328,473,21182,18824,675,15450,1650,9784,1062,383,154,367
Leidschendam-Voorburg,176870627,87784938,66001021,10044692,19962501,13116580,106257173,16842669,23763592,33261414,54523524,14469408,51531613,65612,3949,1352,58484,52262,2154,44232,4255,25141,3034,1310,492,1011
Lelystad,181042016,117236094,75360016,11868038,21620492,11761007,106347162,17641299,23565024,49989741,67246353,19199833,56160182,68269,4725,1577,59829,53558,2062,44183,4583,29446,3771,1311,748,992
Leudal,82920193,62673582,44880939,5743083,9295219,5630663,49267360,6107971,12506559,29370159,33303423,14358497,30522442,32190,2259,845,28946,25003,1175,21631,1641,13437,1717,689,335,591
Leusden,61645164,31854882,22972991,4490540,6708522,4550510,36090988,5470695,8884421,12343161,19511721,3968339,19004651,26093,1747,498,22889,19457,1207,16836,1548,10284,1431,397,192,360
Lingewaal,22737719,11087805,7705216,1472094,2437208,2098251,13919094,1603364,3305960,4898647,6189158,2318816,5386399,9889,496,180,8522,7689,297,6194,525,4022,378,145,83,114
Lingewaard,96935648,56888383,38873320,6691970,10687783,10350653,57338221,8574605,13643068,25448055,31440328,10300678,28572642,41172,2251,772,36321,31203,1297,26422,2400,17193,1720,697,268,585
Lisse,46620698,17381641,11712246,3475637,5345929,3950306,27955755,3260915,6582463,9041897,8339745,3694412,8017834,19864,948,279,17329,14806,642,12534,1205,8025,797,199,136,183
Littenseradiel,19765650,12059318,7703185,1677515,2363980,1990118,11418471,1298993,3006691,5724050,6335268,1998647,5704538,9604,598,196,8173,7024,315,5518,498,3981,479,142,94,118
Lochem,74703423,69398876,51329202,5053006,8283666,10001570,44672950,5803694,10890107,25018182,44380694,10270643,41058560,29707,2448,971,25724,23026,1528,18391,1469,12155,1791,865,344,740
Loon op Zand,53771194,35607073,28220069,3336155,6501725,3288410,32404249,3692424,7836642,14880192,20726881,8117807,20102262,20818,1446,569,18434,16315,682,14000,1104,8724,1109,433,238,378
Lopik,26039514,10229426,7800473,2081533,2898030,1840983,15351279,2133892,3574779,5717517,4511909,3095512,4704961,12393,561,191,10771,9272,348,7705,600,5138,486,111,112,103
Loppersum,22398845,16421702,10252195,1558635,2928462,2564803,12595216,2237497,3079035,8756165,7665537,2600569,7651626,9131,662,225,7930,7182,314,5714,552,3653,511,197,70,168
Losser,50460311,62485335,52828569,3250505,5644481,4634376,31514221,2638181,7412923,13739903,48745432,3546015,49282554,19794,1730,772,16729,14940,832,13517,817,8524,1192,680,154,653
Maasdriel,53501625,27321422,19747885,3441161,5646382,4846967,32976702,3640257,7797124,12101999,15219423,4411227,15336659,21643,1282,461,18917,16484,757,13936,1062,8895,1049,312,225,300
Maasgouw,59108191,75880194,70614578,3706543,7349903,4311141,35906161,3171079,8974504,11989091,63891102,3322320,67292258,21394,2018,1047,18927,17102,863,14829,1120,8769,1313,955,163,929
Maassluis,70077492,43903360,34250662,4640181,8545251,3930936,42312710,4877456,9701893,13912459,29990901,6217764,28032898,28913,1659,724,25463,22595,828,19460,1374,11479,1201,652,294,540
Maastricht,296381702,210102340,148613057,18531127,37386295,24606195,161361625,30938019,48164637,75711164,134391176,25212720,123400337,101164,8947,2953,90779,83038,4492,64941,7898,39774,6779,2743,904,2263
De Marne,23994836,15441096,9357035,1919517,3125600,2442421,13100549,2151567,3697602,10098143,5342954,4065853,5291182,9020,670,185,7929,6989,393,5818,569,3610,567,137,79,123
Marum,20416788,14786182,11478833,1575812,2498453,1601816,11393293,1972859,2976371,7967233,6818948,4487957,6990876,9024,552,206,7784,6872,258,5785,481,3436,441,145,82,145
Medemblik,82620610,72327631,60637957,6292302,9714028,5407263,48067077,6289076,12258126,23051497,49276134,13048977,47588980,38551,2240,1097,33883,27907,978,22929,2176,15385,1567,895,385,794
Meerssen,48875947,30310769,24190735,3065561,6347430,2987960,27495749,3935638,8031570,11679833,18630936,6214737,17975998,17433,1343,477,15609,14190,675,11282,1110,7154,1028,396,157,360
Menameradiel,27052885,14938170,9592413,1822191,3250144,4779749,15991241,2072953,3916355,10525619,4412551,4572668,5019745,11988,872,206,10133,9097,520,7156,607,4969,826,135,108,110
Menterwolde,30647715,20192274,14671883,1934989,3876109,2648105,18025584,2710272,4100761,11886920,8305355,6535429,8136454,11074,805,264,9711,8848,378,7456,792,4428,683,180,127,155
Meppel,79154604,66646445,51818610,5533957,8509904,7701848,45327931,8597622,11185190,23429481,43216965,9873700,41944909,29650,2397,960,26545,22657,1178,18688,2138,12847,1765,796,325,706
Middelburg,99024979,99756839,67192575,6665171,11551673,11130834,52730788,10385846,17691501,36362564,63394274,12128579,55063996,42192,3541,1274,36871,31882,1796,27710,2563,17218,2592,1313,438,942
Midden-Delfland,33586476,18415559,13496996,2576292,3782775,2163267,20685164,2191742,4350503,8399749,10015810,3707993,9789003,16672,687,287,14350,12449,427,10349,704,6479,527,202,123,202
Midden-Drenthe,80507515,69373031,52481288,5337472,8497072,8437624,45695777,9973743,11003451,24021518,45351513,8843903,43637384,29802,2445,832,26051,22498,1349,18848,1938,12519,1810,752,250,629
Mill en Sint Hubert,24012448,14843099,11264611,1422683,2854009,1742045,15101757,1389281,3244718,7153531,7689568,4149580,7115031,9680,581,214,8329,7271,329,6025,539,4232,460,169,96,143
Moerdijk,84414337,48291828,35699375,5142840,10408564,5781351,50526490,5448210,12888233,17955700,30336129,8492570,27206805,33518,2192,875,29884,26457,1352,22380,1631,14050,1687,655,413,545
Molenwaard,51586686,28604024,22336878,3867318,5986836,4127389,29591411,4129271,8011851,12737678,15866346,6472943,15863935,25291,1268,478,21379,18529,726,14420,1142,10875,1026,329,228,306
Montferland,83973773,51079153,30998477,5467562,10393669,10261853,50596131,5826002,11690409,25985422,25093731,8667445,22331031,31517,2325,642,27590,24393,1401,20266,1626,13214,1934,522,264,440
Montfoort,25234548,7533627,4390753,2139355,2832007,2177592,15075328,1820384,3367473,5010889,2522738,2162683,2228070,12180,457,119,10588,8937,298,7345,577,5128,419,60,81,44
Mook en Middelaar,16557347,7788353,5746199,1191885,1796821,1319596,10022181,1199677,2346783,4062842,3725511,1970301,3775897,7028,340,108,6163,5401,232,4509,400,2808,287,71,54,65
Neder-Betuwe,47557033,27614896,20249818,4015291,6260104,4216266,26481815,3731282,7068541,12164615,15450281,4737579,15512239,19484,1109,384,17392,15472,619,11940,931,8346,885,309,146,265
Nederweert,39217620,23056724,16573278,2691097,4387935,2985915,23100749,2953720,6084119,10245679,12811044,3802411,12770867,15157,941,349,13650,11800,551,9974,606,6087,749,240,150,229
Neerijnen,23581765,11146258,8834919,1788972,2549328,1746100,14017607,1632133,3593725,6793367,4352891,4884426,3950493,10584,496,184,9202,8073,324,6648,461,4552,424,98,125,80
Nieuwegein,139571067,61814277,37600356,9196742,16587413,7828331,81207786,14728595,17850530,26652265,35162013,10981809,26618547,54879,2959,895,48510,42969,1515,35401,4133,21087,2359,764,447,533
Nieuwkoop,54488159,56692301,53524769,4096170,5964250,3191819,34174563,3410643,6842533,9294190,47398111,4263431,49261338,24058,1476,811,21017,17913,599,15128,1092,9668,864,712,184,688
Nijkerk,87022218,44160640,30695780,6195833,9636199,6287908,51964145,6497287,12728755,19476121,24684519,7786854,22908926,36342,1876,634,31512,26730,1019,22956,2127,15597,1466,527,239,466
Nijmegen,372664316,259012466,173127745,25222690,40361979,32621360,207081045,51355370,48643232,101278082,157734384,35688594,137439151,147048,10617,3599,130201,108991,4977,88401,12205,55229,8194,3163,1495,2416
Nissewaard,203863009,86751858,63359062,12263235,26082934,10223787,120235665,16711243,28569932,34761171,51990688,16368494,46990568,76893,3864,1278,68848,62206,2135,51748,4916,30972,3035,1170,537,869
Noord-Beveland,17504694,11190339,9561319,1064299,2153938,1213474,10020920,1147756,3117782,5068494,6121845,3598710,5962609,6603,468,204,5832,5312,279,4565,339,2656,347,175,85,137
Noordenveld,68778544,50093666,32384235,4815454,7592479,8153171,39916462,6708716,9745433,24911410,25182256,11323556,21060679,27996,1988,635,24382,21383,1117,17786,1727,11168,1585,527,251,432
Noordoostpolder,91967833,78294497,52570563,6644542,10537082,9019282,53658759,6617354,14510096,34500729,43793768,14959162,37611401,40409,3052,1059,35056,29664,1419,23758,1948,17603,2354,897,465,710
Noordwijk,52198019,82152512,75820355,4161949,5739540,6732218,30113183,4651202,7532146,14051208,68101304,4344980,71475375,22563,1790,1020,19805,17316,752,14322,1519,8792,1019,902,178,902
Noordwijkerhout,34341067,29911166,19813072,2326714,3868685,2429384,19511868,3718884,4914916,6002585,23908582,2146965,17666107,14276,940,339,12507,10832,420,9287,1052,5789,613,403,103,264
"Nuenen, Gerwen en Nederwetten",53274442,19734156,13583302,3015249,5592764,3455398,33595130,3912403,7158896,10980771,8753384,5074753,8508549,20544,994,286,17962,15851,668,13822,1027,8054,850,222,148,174
Nunspeet,59267120,56216197,43014004,4019667,6443159,5625377,34863912,4663226,9277156,20200092,36016105,11009669,32004335,23711,1795,763,20447,17948,887,14444,1110,10465,1296,641,278,561
Nuth,39882848,24048360,17086249,2342110,4826240,2848481,23839354,2406118,6469025,9145843,14902517,4331511,12754738,13998,1117,374,12449,11411,598,9185,782,5718,822,352,130,286
Oegstgeest,47047594,43041939,34091425,3594984,5182272,3617304,25784721,6010412,6475205,11249323,31792616,5030202,29061223,20341,1244,588,17568,15264,502,12913,1548,8057,782,540,164,472
Oirschot,38141656,23131716,16886957,2595916,4339428,3416984,22544250,2500397,6161665,8236672,14895043,3260532,13626425,16472,1017,430,14528,12815,540,10538,747,6910,761,351,173,302
Oisterwijk,59043708,48893641,37627288,3770820,7591771,3111557,34711710,4525851,8443556,17109360,31784281,11695643,25931645,23227,1769,780,20825,18134,736,15663,1319,9811,1266,652,352,548
Oldambt,105064685,86069772,52285125,6391215,13650900,14624535,59616539,10821147,14584885,44955593,41114179,18919596,33365528,34989,3489,1079,30862,28368,1760,23754,2627,14779,2783,963,451,723
Oldebroek,46916135,29924729,20037050,3282241,5452471,5472087,27333292,3178149,7669982,14699544,15225185,5758248,14278802,20415,1328,411,17650,15290,760,11854,1028,8597,1106,318,178,272
Oldenzaal,72778521,51303507,34542548,5296854,7970132,8734290,43345862,4966776,11198898,20411598,30891910,5745241,28797308,28860,2236,749,25024,21863,1249,19340,1377,12295,1771,653,253,580
Olst-Wijhe,40308800,35341185,26429198,2686757,4387207,3731829,23695737,3634773,5904325,10919373,24421812,1777459,24651739,15841,1198,520,13931,11720,675,10244,832,6631,861,458,124,440
Ommen,37209771,30105937,24197017,2519008,3848307,3801050,22383155,2918808,5540494,10809394,19296543,3771319,20425698,15077,1118,422,12823,10885,631,8804,691,6338,851,350,119,346
Onderbanken,19745111,9524906,6267139,1117658,2236338,1642427,11622715,1329250,3439150,5378769,4146137,1945609,4321529,7064,585,169,6409,5783,367,4939,410,2988,502,131,82,110
Oost Gelre,64656706,53048305,35211384,4739178,7567880,8897465,39220341,4427842,8701466,20398142,32650163,6177922,29033462,26222,2092,704,22662,20159,1160,16759,1132,11110,1561,685,193,572
Oosterhout,126760135,59519672,47091575,7264722,14426755,7018708,74541151,9876958,20650550,25311026,34208647,11857515,35234059,48880,2962,1102,43081,38950,1574,31197,2397,19834,2389,799,531,703
Ooststellingwerf,57121819,71736099,59790911,4029683,7011520,7573089,32928831,5104828,8046958,27913339,43822760,15156523,44634387,23011,2118,884,20010,18230,962,14720,1386,9487,1574,722,254,683
Oostzaan,19768005,7583656,6318004,1400620,2183422,713285,12314383,1107453,2762125,2143567,5440088,1151198,5166806,8309,385,147,7392,6216,231,5226,438,3277,293,122,49,107
Opmeer,22216522,11075219,8224933,1621270,2488882,1715730,13074018,1900589,3131763,5084406,5990813,2007234,6217699,10011,519,166,8736,7147,296,5888,503,4042,430,131,73,114
Opsterland,62432825,68239574,56721182,4379225,7026622,7038988,37223610,4819120,8984248,22324069,45915505,9034482,47686700,26385,2075,834,22540,19546,961,16236,1415,10938,1527,697,210,673
Oss,212995179,100477795,64351300,13262857,25584958,18649822,123707513,18974727,31465124,52718929,47758866,20839704,43511596,81062,5017,1505,71966,63619,3152,52420,5256,35215,4234,1126,807,889
Oud-Beijerland,49042929,36708833,30167169,3385637,6078679,2806160,28760475,3487288,7330850,10971175,25737658,5896577,24270592,21543,1283,550,19031,16497,616,13719,1018,8630,884,538,174,427
Oude IJsselstreek,88929854,71572994,49423738,6384883,10753778,12535717,52671427,5764811,13354954,29622984,41950009,11394841,38028897,35296,2921,1061,30590,27064,1732,22237,1605,15331,2265,867,422,744
Ouder-Amstel,28007368,17621150,14893339,1992706,3022079,1744689,16615924,2485815,3890844,3688213,13932937,1566043,13327296,11874,640,342,10287,8777,293,7424,679,4650,400,297,113,267
Oudewater,20571365,13825549,10605065,1336240,2423782,1367888,12491541,1326264,2993538,6648367,7177182,4501493,6103573,8818,545,267,7636,6436,285,5323,434,3676,415,186,138,168
Overbetuwe,99608485,48912424,36031318,7195584,11577814,6711415,58391935,7966727,14476424,23249232,25663192,11285461,24745857,42218,2088,717,37283,31480,1171,26187,2515,17570,1691,549,292,493
Papendrecht,72557761,31173708,20348397,4308051,8440368,4618715,44283715,5642124,9883503,12094926,19078782,4522176,15826221,28963,1571,525,25392,22942,939,18269,1617,11652,1261,417,245,337
Peel en Maas,98921538,67270881,52765230,6671343,11278022,8065288,58867372,6556910,15547891,22303563,44967318,7728802,45036428,38702,2390,902,34147,30086,1304,25881,1731,16698,1751,785,250,731
Pekela,33297484,20879029,11389674,2135831,4356643,5475385,19220422,2638173,4946414,14334887,6544142,5029916,6359758,11344,1014,242,10155,9373,571,7685,696,4945,896,176,117,146
Pijnacker-Nootdorp,97079729,76595829,67639122,6696248,10703751,4942516,58754720,7863130,13061881,17081516,59514313,8065061,59574062,45611,2033,1015,39767,34221,880,28039,2727,19096,1343,883,284,812
Purmerend,187457757,126169862,101460473,13524836,22064605,12734398,111903037,16411277,23554002,41882108,84287754,21088609,80371865,71957,4874,2010,64545,55807,2363,47690,4750,28385,3657,1597,833,1381
Putten,52454565,32963457,26639648,3833393,6113974,5196969,30061022,4631601,7814575,17490530,15472926,12064095,14575554,21585,1295,506,18939,16515,746,13080,1087,9240,1063,304,294,268
Raalte,75799204,62562659,42286706,5650583,8685627,8171522,44566659,5564085,11332251,22120410,40442250,2634779,39651927,32517,2427,848,28218,23790,1320,19806,1394,13676,1809,808,197,716
Reimerswaal,42946895,26168068,18497985,2831454,5432974,2654987,23485503,3531364,7665600,8488071,17679997,4045099,14452885,19005,1141,383,16224,14465,588,11698,934,8559,840,408,131,295
Renkum,81901382,95233325,63145485,5165293,9031988,8633058,45940248,11084039,10679814,21971065,73262260,9071991,54073494,28174,2745,1145,24602,21583,1178,18729,1830,11444,1623,1319,280,928
Renswoude,10065128,2991704,1765132,785821,1037066,898138,6074057,678026,1490157,2409247,582457,1021594,743539,4198,164,37,3591,3061,109,2506,175,1906,157,14,25,14
Reusel-De Mierden,26021998,11677122,9316809,1797460,3002727,1447762,15202220,1705382,4314209,5382065,6295056,2991934,6324875,11446,558,192,10091,9285,288,7349,533,4839,443,164,80,129
Rheden,108883541,96716890,76845331,7459687,11876388,9650628,65120244,8772878,15654343,31023271,65693620,13541427,63303904,39218,3526,1501,34688,30341,1649,26247,2451,15991,2443,1365,447,1195
Rhenen,39646848,33614821,26640174,2879959,4576805,4313680,23842822,2967961,5379301,11719146,21895675,5328683,21311491,17020,1101,449,14616,12601,627,10622,771,7206,821,350,162,327
Ridderkerk,104224756,53696326,42626385,6492852,12560998,6918122,61999200,7575545,15596161,18243304,35453022,8507903,34118482,41089,2394,981,36670,33337,1360,27615,2048,16333,1777,891,410,709
Rijnwaarden,24448311,15972883,10942957,1659032,2657410,2800499,14568037,1824564,3739268,7945308,8027574,3409871,7533086,9668,674,232,8430,7388,350,6139,494,4188,530,192,86,169
Rijssen-Holten,78525109,54042938,39654068,5824270,9824825,8978359,44540716,6073287,12262012,22425012,31617926,6619071,33034997,34066,2291,826,30034,26870,1396,21221,1528,14856,1815,655,263,646
Rijswijk,121740839,69536052,52403013,6619493,14748481,10665789,72012286,10621604,17738975,24086188,45449864,9088556,43314458,42798,3064,1230,38072,34599,1567,29750,2878,16626,2250,1089,415,944
Roerdalen,52662842,27868236,22277578,3352223,6264460,3734871,30903292,4100113,8042755,12266619,15601616,5615820,16661758,18452,1231,472,16445,14991,709,12699,953,7710,961,340,185,339
Roermond,146853760,86948694,60133068,8717571,16794451,7940964,85823708,14827346,20690684,32106838,54841857,11790742,48342326,51176,3778,1293,45722,41235,1862,34129,3568,20937,2844,1202,478,941
De Ronde Venen,86214085,37039677,29481660,6083348,9757252,5050377,52715669,6367935,11289881,13219522,23820154,6022732,23458928,38057,1669,686,33265,28643,1029,24284,1944,14453,1294,498,299,467
Roosendaal,186799495,125475278,90195689,10491315,22698931,17408677,105235950,17590202,30783097,43521528,81953749,14141430,76054258,69371,5555,2034,61167,55707,2904,46758,4324,29025,4237,1723,742,1479
Rotterdam,1408259969,895153101,608538973,95479458,173186182,117074856,789869586,151808695,197916048,338691349,556461751,134294820,474244153,543291,36031,13069,484925,433536,16803,356499,36588,207791,26717,11978,4983,9428
Rozendaal,3126807,863760,672976,226104,293488,345551,2020058,144115,443043,612047,251713,426465,246511,1342,52,23,1134,978,50,846,63,517,48,,21,
Rucphen,60370024,28218798,18818301,3278056,7508903,5721910,35612843,4050621,9919601,14367523,13851275,5108857,13709444,20578,1490,470,18493,17571,918,14180,1000,8703,1253,316,200,316
Schagen,94679635,62843612,49011331,6369177,10393638,8733890,57169905,7475129,13271786,22231243,40612368,8318952,40692379,40311,2458,892,35035,29598,1391,24908,2270,15940,1912,727,292,693
Scherpenzeel,18139458,13478710,8068966,1342296,2097601,1642111,10383205,1391582,2924774,4005847,9472863,1229291,6839675,8274,512,156,6939,5853,220,4624,412,3627,358,184,44,128
Schiedam,169627558,103100151,77244749,10934430,21460975,11007337,101161252,13831508,22239392,33751289,69348861,15643683,61601067,68465,4035,1731,61023,55368,2008,46157,3918,26768,2850,1530,676,1263
Schiermonnikoog,1964774,905966,324708,267519,234128,384351,1027709,88952,346466,688638,217329,194509,130199,837,55,,749,660,46,459,33,304,51,,,
Schijndel,54181682,32268699,25395596,3649156,6309246,2635808,32400194,3917022,7906064,11496650,20772049,5518593,19877003,21469,1285,508,19240,16685,632,14247,1182,8922,951,403,206,359
Schinnen,31258652,18033056,12828055,1907986,3444378,2972235,18461886,2349699,5094703,8020696,10012360,3063471,9764584,11560,972,279,10384,9297,619,7728,666,4645,815,229,119,196
Schouwen-Duiveland,78969196,47584284,34313512,4911394,9791800,7628384,45727221,5032343,13506438,19241626,28342658,6557450,27756063,30312,2062,718,26623,24555,1292,20675,1427,12312,1595,665,223,571
Simpelveld,27567726,16632863,8326989,1630911,3040429,2205306,15798283,1645524,5452579,5515881,11116983,1311867,7015122,9458,722,182,8297,7621,404,6265,540,3931,534,249,64,139
Sint Anthonis,22193693,30327822,25500797,1586965,2617120,2236910,12829841,1807169,3352599,5852163,24475660,2040381,23460416,10409,832,393,9021,7616,373,6436,556,4501,510,381,75,346
Sint-Michielsgestel,63415936,51429613,40563568,4080672,7038502,4296837,38483130,4474932,9338700,16627101,34802512,6926570,33636999,25851,1625,688,22698,19852,808,16958,1377,10853,1205,572,241,514
Sint-Oedenrode,39160920,22510218,16146550,2500612,4021463,3437990,22909553,3674802,6054489,9618238,12891981,3980865,12165685,16027,949,340,13915,12077,540,10208,824,6913,760,265,151,239
Sittard-Geleen,247111592,164703993,122241242,15411120,30248380,20944301,136446250,25477107,39528736,67776504,96927489,22252976,99988267,84857,9005,2646,76917,69432,5058,56473,6294,34628,7304,2302,944,1991
Sliedrecht,55516081,93267385,84058086,3087931,7047729,5588543,32292287,4995589,8092546,14353019,78914366,5300284,78757802,22106,2206,1241,19123,17499,933,13626,1276,8985,1233,1125,242,1063
Slochteren,33642891,18905431,11631851,2571571,3884480,3065361,19865687,2309802,5011352,8962527,9942904,2565190,9066661,14008,839,275,12378,10634,445,8692,820,5658,643,243,89,206
Sluis,55259567,38797599,26907149,3226882,6545308,5855395,24855105,2615807,18016464,14567711,24229888,5366633,21540517,20347,1826,659,17291,16262,1128,13209,1085,10033,1455,599,285,431
Smallingerland,125583858,119397380,86271802,8552346,14466971,11570867,68712490,16234343,17617709,48047051,71350328,21808240,64463562,49350,4299,1443,42946,37893,1820,31758,3701,20246,3318,1290,508,1046
Soest,106655900,65813764,45261760,7419146,11700874,8423185,63721242,9397405,14417233,23768644,42045120,9673815,35587945,40996,2576,928,36138,31257,1448,26481,2537,16846,1903,846,292,709
Someren,39946611,27405857,21260611,2480269,4426112,3022068,24344083,2424006,6272141,10555353,16850504,4174960,17085650,16417,1123,437,14419,12286,597,10491,740,6863,831,382,151,348
Son en Breugel,36906132,24854783,20276212,2196931,4496488,3124676,22421072,2354654,5436987,10892130,13962654,5053887,15222326,14751,932,351,12874,11247,508,9743,749,6082,757,263,167,226
Stadskanaal,87004950,66059343,39170883,5780756,10896873,14156435,50679387,7593104,12054830,34006510,32052833,11031482,28139401,29643,3139,840,26140,24097,1697,20475,1954,12792,2621,690,315,582
Staphorst,29312098,18792825,11405041,1939815,3038968,3532929,17899889,1963829,4469597,13860821,4932004,6862175,4542866,13674,780,224,11100,9286,465,8040,578,6427,708,119,140,102
Stede Broec,42615983,23847323,19855452,2972409,4974571,2155755,25173080,3374172,6121750,8784563,15062760,4939331,14916122,18922,1009,438,16555,13826,490,11862,1240,7727,747,340,177,309
Steenbergen,56315310,33788892,24949143,3457097,6942392,4215560,33274798,4303652,8337371,13414880,20374012,5946123,19003021,21002,1567,667,18905,17030,892,14581,1128,8718,1207,458,319,394
Steenwijkerland,101221795,66734446,42186143,6611200,10879535,13096213,61612124,6994369,15124567,32691631,34042815,11239518,30946625,38476,3050,916,33640,29503,1806,24875,2012,16621,2492,759,388,615
Stein,60651258,31889226,20163971,4126177,7385309,4587950,34561613,4816095,9762063,13783576,18105650,4778572,15385399,23024,1944,488,20908,18695,1211,14993,1317,9362,1645,414,208,327
Stichtse Vecht,138718076,63074488,46429360,9816941,16113094,8658772,82262637,11628704,18896700,25288306,37786182,12567502,33861859,57145,2953,1183,50320,43361,1738,36541,3212,22433,2326,867,585,725
Strijen,17236812,10953883,7981516,1204158,2503408,1548005,10006543,1044075,2478629,4561758,6392125,1951836,6029680,7906,485,165,7027,6429,286,4735,391,3034,376,146,63,115
Súdwest-Fryslân,173754229,142965951,100287999,12796030,20116104,19429989,101580584,14515036,24746474,57484563,85481388,21823746,78464253,74257,6078,2545,63577,55096,2791,45298,4331,30699,4772,1739,1237,1481
Terneuzen,129238510,85504357,60026429,8565947,15718756,9958735,70087472,7941943,26924392,28550989,56953368,8919239,51107191,47430,4042,1287,42072,38557,2222,33013,2267,20210,3136,1284,423,988
Terschelling,9118591,4930993,3664893,1192041,1122313,882130,4774619,685497,1344122,1622799,3308194,278537,3386356,4256,246,87,3816,3292,148,2587,183,1509,182,74,17,75
Texel,29717334,19180275,15971693,2012298,3651083,1474547,17134673,2014817,4904463,5714391,13465884,3427794,12543899,12094,733,337,10689,9082,405,7101,656,5005,501,285,115,257
Teylingen,71766995,47262955,43101121,5632512,8115355,4273794,40939841,6771084,10308202,13937689,33325266,4756619,38344503,31871,1715,839,28208,24036,793,19907,2180,12887,1168,677,208,727
Tholen,54904890,30843256,22242262,3390127,6981893,4477149,30291579,4173522,10067769,14204785,16638471,6054762,16187500,22711,1508,491,19609,18084,722,14727,1111,10173,1248,405,214,319
Tiel,94697237,67839600,53264476,6847801,10593535,6879954,54740967,8347936,14166998,25748574,42091026,13321202,39943273,37300,2499,1149,33306,28631,1195,24401,2159,15550,1816,844,534,736
Tilburg,461468412,386315123,294272645,28393936,56321450,26000578,261252577,50253055,65247394,123164859,263150264,51896271,242376375,185008,13826,5450,163821,142142,5610,118498,12775,74043,9881,4924,1721,4158
Tubbergen,40974870,31954838,20703225,3005730,4916178,7743776,24624539,1559725,6868699,17737103,14217735,6785850,13917375,18983,1257,410,16313,14500,803,11990,566,8348,1058,308,162,276
Twenterand,75978834,55202814,33303759,5202420,8906601,10752863,45221659,5068770,11579384,29078354,26124460,9961452,23342308,30326,2313,695,26422,23556,1227,19096,1306,13485,1921,540,306,463
Tynaarlo,77482011,91525188,73368505,5236182,8012224,7944434,41539485,12489676,10204444,22772106,68753083,10241049,63127457,29193,2498,1155,25170,21532,1136,17849,1914,11894,1545,1094,244,977
Tytsjerksteradiel,64884842,66207633,52404127,4491900,7459873,9517156,39307085,4268234,9357751,26646073,39561560,13431963,38972163,27999,2361,877,23808,21464,1233,17131,1567,11591,1801,720,300,649
Uden,100056855,57376422,41049593,5915431,10895667,6760964,60877291,7909070,14459396,23435626,33940795,8353469,32696124,37103,2386,844,33237,28742,1304,24242,2529,15861,1855,698,326,611
Uitgeest,25237265,8320766,5679148,1928560,2687213,1256436,15371315,2093880,3156296,4400266,3920501,2537546,3141603,11772,408,126,10259,8422,237,6795,659,4459,354,87,68,65
Uithoorn,58795418,27114219,20228766,4266027,6775103,3187454,34273783,4864240,8616265,9384477,17729742,4862581,15366184,25558,1204,496,22191,19417,598,16409,1535,9952,902,401,265,341
